"country_name","energy_use_percapita","gni_per_capita","birth_rate","death_rate","fertility_rate","life_expectancy","infant_mortality_rate","urban_pop_pct","birthCat","deathCat","gni_hi_ind"
"Finland",6953.488746,44200,11.1,9.3,1.83,79.26341463,2.8,83.1662,"Low","High",1
"France",4130.292966,38900,12.8,8.3,1.98,80.81463415,3.7,83.0246,"Low","High",1
"Gabon",1397.179197,6470,27.615,9.537,3.386,60.89914634,53.7,84.4316,"High","High",1
"Gambia, The",83.57646964,450,39.665,9.898,5.133,57.22004878,60.7,54.535,"High","High",0
"Georgia",761.9633579,2090,12.091,10.899,1.571,72.84134146,21.6,52.5788,"Low","High",0
"Germany",4033.168632,39440,8.3,10.1,1.37,79.53414634,3.7,73.539,"Low","High",1
"Ghana",418.0195288,710,32.724,8.426,4.352,62.3002439,55.8,49.1024,"High","High",0
"Greece",2699.663256,24900,10,9.8,1.41,79.43902439,4.4,60.6772,"Low","High",1
"Greenland",NA,34060,15.1,8,2.23,68.43902439,31.53881752,83.468,"Low","High",1
"Grenada",783.6080799,7020,19.15,6.287,2.301,75.1467561,11.2,37.8848,"Low","Low",1
"Guatemala",642.2957169,2430,33.562,5.64,4.199,70.12504878,28.4,48.0344,"High","Low",0
"Guinea",NA,330,40.059,13.993,5.483,52.18856098,87.7,33.6942,"High","High",0
"Guinea-Bissau",66.70453612,450,39.486,17.541,5.303,46.64268293,102.6,41.015,"High","High",0
"Guyana",666.6062277,1780,18.856,6.118,2.34,68.34817073,32.6,28.3092,"Low","Low",0
"Haiti",289.0301904,560,27.694,9.336,3.58,60.68773171,59.2,47.2452,"High","High",0
"Heavily indebted poor countries (HIPC)",NA,496.194094,39.44670843,12.78681481,5.319710248,54.01350472,76.1252951,30.14934733,"High","High",0
"High income",5189.207646,37020.83772,11.88154067,8.261891409,1.744809335,79.20503526,5.5,79.25297702,"Low","High",1
"High income: nonOECD",5497.637134,21619.8703,14.7483263,5.238701098,2.196774445,76.32235706,31.53881752,82.46389765,"Low","Low",1
"High income: OECD",5164.513978,38356.63041,11.63584605,8.520846018,1.715535301,79.45137557,5.007788815,79.04961774,"Low","High",1
"Honduras",649.2561133,1620,27.881,5.03,3.339,71.95890244,21.6,49.8202,"High","Low",0
"Hong Kong SAR, China",2070.1916,31220,10.2,5.7,1.024,82.37560976,31.53881752,100,"Low","Low",1
"Hungary",2657.989236,11510,9.7,13.2,1.32,73.15121951,6.5,67.405,"Low","High",1
"Iceland",15709.13707,58780,14.6,6.2,2.09,81.10731707,2,93.2718,"Low","Low",1
"India",508.1531617,950,23.192,8.279,2.742,64.06853659,52.9,29.913,"High","High",0
"Indonesia",810.0785882,1600,19.361,7.234,2.21,67.70958537,29,47.5318,"Low","Low",0
"Iran, Islamic Rep.",2736.976272,3520,17.626,5.391,1.759,71.93463415,25.4,68.11,"Low","Low",0
"Iraq",1128.744423,1450,36.656,6.182,4.887,67.86407317,32.2,66.8396,"High","Low",0
"Ireland",3451.683765,49210,16.2,6.4,2.01,79.04146341,3.9,61.0454,"Low","Low",1
"Isle of Man",NA,48910,11.4,9.8,2.905202126,68.58510473,31.53881752,50.9532,"Low","High",1
"Israel",2990.877564,22460,21.1,5.5,2.9,80.60487805,4.1,91.64,"Low","Low",1
"Italy",3016.317108,34030,9.5,9.6,1.37,81.28536585,3.6,67.8408,"Low","High",1
"Jamaica",1756.194409,4540,17.03,6.37,2.414,72.04080488,17.7,52.013,"Low","Low",0
"Japan",4031.994083,37650,8.63,8.71,1.34,82.50707317,2.6,87.8032,"Low","High",1
"Jordan",1271.933416,3030,26.397,4.067,3.8,72.88692683,19.9,81.6954,"High","Low",0
"Kazakhstan",4268.826749,4980,20.79,10.22,2.5,66.50487805,28.8,54.3242,"Low","High",0
"Kenya",463.121037,660,38.196,11.544,4.83,54.38602439,55.5,22.4334,"High","High",0
"Kiribati",115.7370874,1830,22.19499078,8.722886224,2.905202126,68.58510473,41.8,43.6534,"High","High",0
"Korea, Rep.",4571.102864,21140,10,5,1.25,79.3495122,4.4,81.9802,"Low","Low",1
"Kosovo",NA,2750,19.25,6.99,2.431,69.18243902,31.53881752,NA,"Low","Low",0
"Kuwait",10780.60215,47790,18.372,3.105,2.272,74.27990244,9.7,98.203,"Low","Low",1
"Kyrgyz Republic",560.4657961,610,23.5,7.3,2.8,67.89512195,31.3,35.2956,"High","Low",0
"Lao PDR",NA,620,24.338,6.718,3.057,65.65956098,41.6,29.68,"High","Low",0
"Latin America & Caribbean (all income levels)",1281.450645,6047.502668,19.49795934,5.92781777,2.322767566,73.38444574,19.6140958,77.86629859,"Low","Low",1
"Latin America & Caribbean (developing only)",1248.010611,5940.405359,19.57015003,5.911642475,2.3297069,73.35756504,19.5,77.90151677,"Low","Low",1
"Latvia",2051.662054,10100,10.2,14.5,1.41,71.0195122,9.3,67.8864,"Low","High",1
"Least developed countries: UN classification",331.2600409,521.0590267,34.75104249,11.13762444,4.466749758,57.42199818,71.83323142,26.97283201,"High","High",0
"Lebanon",1013.936344,6240,15.957,6.877,1.865,71.86285366,10.3,86.7964,"Low","Low",1
"Lesotho",9.021294052,950,28.701,17.052,3.405,45.21502439,75.6,24.7044,"High","High",0
"Liberia",NA,170,40.731,12.301,5.447,53.88885366,74.3,46.751,"High","High",0
"Libya",2959.055814,10470,24.126,4.001,2.751,74.10292683,15.5,77.1436,"High","Low",1
"Liechtenstein",NA,111930,10,6.4,1.42,68.58510473,2.1,14.6178,"Low","Low",1
"Lithuania",2740.806572,10080,9.6,13.5,1.35,70.9,6.5,66.7814,"Low","High",1
"Low & middle income",1114.120702,2342.85551,21.58390486,8.32700063,2.645511983,66.81144196,45.5,44.37125123,"Low","High",0
"Low income",355.9865414,399.1691139,33.63985792,11.15891452,4.275778211,57.58654047,70.2,26.52691093,"High","High",0
"Lower middle income",640.514664,1174.797747,24.86866902,8.386028829,3.018319959,64.54197775,51,37.15702221,"High","High",0
"Luxembourg",8723.318882,79710,11.4,8.1,1.61,80.08780488,2.8,84.4312,"Low","High",1
"Macao SAR, China",NA,33980,8.616,4.447,0.971,80.02268293,31.53881752,100,"Low","Low",1
